City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,West Bay,KY,19.3667,-81.4167,89.08,69,20,1.99,few clouds
158,Tabou,CI,4.423,-7.3528,77.61,84,100,6.06,overcast clouds
159,Soyo,AO,-6.1349,12.3689,77.05,81,39,12.75,scattered clouds
160,Great Yarmouth,GB,52.6083,1.7305,61.05,75,100,18.81,light rain
161,Mendoza,AR,-32.8908,-68.8272,69.33,26,0,5.75,clear sky
162,Sakaiminato,JP,35.55,133.2333,73.38,83,90,3.44,overcast clouds
163,Salinas,US,36.6777,-121.6555,73.99,59,0,4.97,clear sky
164,Russell,US,32.3502,-85.1999,86.97,51,20,3.44,few clouds
165,Buenos Aires,AR,-34.6132,-58.3772,63.95,80,90,14.97,overcast clouds
166,Bilma,NE,18.6853,12.9164,90.23,25,9,9.86,clear sky
167,Batagay,RU,67.6333,134.6333,19.78,92,33,2.37,scattered clouds
168,Smithers,CA,54.7804,-127.1743,52.12,71,75,3.44,broken clouds
169,Batemans Bay,AU,-35.7167,150.1833,59.2,82,100,2.93,overcast clouds
170,Klaksvik,FO,62.2266,-6.589,49.12,80,91,15.03,overcast clouds
171,Clyde River,CA,70.4692,-68.5914,32.23,86,90,6.91,overcast clouds
172,Pisco,PE,-13.7,-76.2167,65.01,77,75,11.5,broken clouds
173,Dalbandin,PK,28.8947,64.4101,86.77,12,44,4.72,scattered clouds
174,Nizhniy Ingash,RU,56.2,96.53,33.58,93,100,2.44,overcast clouds
175,Beringovskiy,RU,63.05,179.3167,30.6,57,20,7.52,few clouds
176,Halvad,IN,23.0167,71.1833,84.87,74,100,4.5,very heavy rain
177,Ishigaki,JP,24.3448,124.1572,82.44,80,50,16.53,scattered clouds
178,Sisimiut,GL,66.9395,-53.6735,34.36,42,0,7.27,clear sky
179,Jadu,LY,31.953,12.0261,70.25,74,0,9.73,clear sky
180,Pemba,MZ,-12.974,40.5178,77.41,76,5,11.27,clear sky
181,Severodvinsk,RU,64.5635,39.8302,37.51,92,68,4.52,broken clouds
