City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Leningradskiy,RU,69.3833,178.4167,22.64,95,100,8.75,light snow
170,Gimli,CA,50.6336,-96.9907,53.62,100,92,6.91,overcast clouds
171,Lebu,CL,-37.6167,-73.65,49.44,86,93,9.44,overcast clouds
172,Tazovskiy,RU,67.4667,78.7,32.13,90,100,20.94,overcast clouds
173,Bonoua,CI,5.2741,-3.595,80.22,66,94,7.65,light rain
174,Cururupu,BR,-1.8283,-44.8683,85.28,64,78,6.38,broken clouds
175,Escarcega,MX,18.6089,-90.7454,71.04,99,45,3.11,scattered clouds
176,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,8.05,mist
177,Juneau,US,58.3019,-134.4197,46.4,92,90,1.01,moderate rain
178,Yumen,CN,40.2833,97.2,70.21,14,27,4.63,scattered clouds
179,Cabedelo,BR,-6.9811,-34.8339,81.27,72,18,13.69,few clouds
180,Emerald,AU,-23.5333,148.1667,69.94,53,12,4.61,light rain
181,Klaksvik,FO,62.2266,-6.589,52.72,79,48,13.69,scattered clouds
182,Banjar,ID,-8.19,114.9675,80.46,87,49,7.85,scattered clouds
183,Roald,NO,62.5833,6.1333,58.33,62,75,4.61,light rain
184,Butembo,CD,0.15,29.2833,69.06,81,89,1.23,moderate rain
185,Lewiston,US,44.1003,-70.2148,51.24,99,60,3.33,broken clouds
186,Belyy Yar,RU,53.6039,91.3903,42.69,87,40,4.47,light intensity shower rain
187,Honningsvag,NO,70.9821,25.9704,49.53,71,75,10.36,broken clouds
188,Muros,ES,42.7762,-9.0603,72.23,82,88,5.26,overcast clouds
189,Lakatoro,VU,-16.0999,167.4164,77.88,87,99,19.15,moderate rain
190,Urucui,BR,-7.2294,-44.5561,89.44,49,4,3.49,light rain
191,Chapais,CA,49.7834,-74.8492,44.38,83,29,3.8,scattered clouds
192,Iranshahr,IR,27.2025,60.6848,106.14,12,40,9.22,scattered clouds
193,Broken Hill,AU,-31.95,141.4333,56.91,67,79,8.05,broken clouds
194,Xinzhi,CN,36.4989,111.7047,72.93,60,0,6.2,light rain
195,Kropotkin,RU,45.4375,40.5756,51.51,44,100,18.03,overcast clouds
196,Ugoofaaru,MV,5.6667,73.0,82.35,73,98,13.76,overcast clouds
197,Saskylakh,RU,71.9167,114.0833,14.09,97,42,3.02,scattered clouds
198,Cherskiy,RU,68.75,161.3,6.67,96,19,7.23,few clouds
199,Nome,US,64.5011,-165.4064,30.27,65,1,8.05,clear sky
200,Cairns,AU,-16.9167,145.7667,75.15,87,75,0.0,broken clouds
201,Bosaso,SO,11.2842,49.1816,93.18,66,0,14.97,clear sky
202,Kologriv,RU,58.8275,44.3178,49.51,82,100,4.94,overcast clouds
203,Ngunguru,NZ,-35.6167,174.5,51.17,83,15,4.05,few clouds
204,Mahibadhoo,MV,3.7833,72.9667,82.92,71,48,10.89,scattered clouds
205,Dikson,RU,73.5069,80.5464,31.96,84,100,19.3,overcast clouds
206,Soe,ID,-9.8607,124.284,67.01,84,10,2.66,clear sky
207,Lorengau,PG,-2.0226,147.2712,78.17,78,100,2.82,overcast clouds
208,Fayetteville,US,35.0527,-78.8784,61.88,96,1,4.61,mist
209,Santiago Del Estero,AR,-27.7951,-64.2615,61.81,40,67,11.77,broken clouds
210,Najran,SA,17.4924,44.1277,93.85,10,100,8.14,overcast clouds
211,Saldanha,ZA,-33.0117,17.9442,71.65,80,9,21.61,clear sky
212,Caluquembe,AO,-13.7833,14.6833,88.84,12,18,5.3,few clouds
213,Vilani,LV,56.5525,26.9245,57.9,55,88,11.01,overcast clouds
214,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.57,35,22,13.94,few clouds
215,Kangavar,IR,34.5043,47.9653,85.48,11,0,15.3,clear sky
216,Lavrentiya,RU,65.5833,-171.0,28.78,80,100,14.54,overcast clouds
217,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,91.63,36,2,10.92,clear sky
218,Trinidad,BO,-14.8333,-64.9,76.98,83,11,0.0,smoke
219,Provideniya,RU,64.3833,-173.3,25.36,83,92,8.05,overcast clouds
220,Kampene,CD,-3.6,26.6667,79.57,80,98,2.37,light rain
221,Zabaykalsk,RU,49.6333,117.3167,36.36,53,44,1.88,scattered clouds
222,Road Town,VG,18.4167,-64.6167,82.99,69,18,7.67,few clouds
223,Chartres,FR,48.4167,1.5,62.51,62,100,16.37,overcast clouds
224,Kathu,TH,7.9178,98.3332,82.22,74,100,7.56,overcast clouds
225,Kimberley,ZA,-28.7323,24.7623,78.49,44,40,20.71,thunderstorm
226,Khasan,RU,42.4308,130.6434,58.96,58,20,3.09,few clouds
227,Maldonado,UY,-34.6667,-54.9167,58.39,89,95,13.02,overcast clouds
228,Akdepe,TM,42.0551,59.3788,57.29,28,87,16.42,overcast clouds
229,Prince Rupert,CA,54.3161,-130.3201,49.69,83,90,11.5,light rain
230,Oistins,BB,13.0667,-59.5333,84.29,74,75,19.57,broken clouds
231,Praya,CV,14.9215,-23.5087,84.74,61,20,14.97,few clouds
232,Babanka,UA,48.7097,30.4483,61.12,32,1,7.47,clear sky
233,Ostrovnoy,RU,68.0531,39.5131,44.98,80,100,1.3,overcast clouds
234,Tirumullaivasal,IN,11.2333,79.8333,85.3,64,99,8.34,overcast clouds
235,Sahuaripa,MX,29.05,-109.2333,64.81,68,0,3.51,clear sky
236,Newport,GB,51.5877,-2.9984,61.77,67,52,15.93,broken clouds
237,Amursk,RU,50.2261,136.8994,46.09,60,6,6.46,clear sky
238,Melk,AT,48.2274,15.3319,69.31,53,68,5.35,broken clouds
239,Lazaro Cardenas,MX,17.9583,-102.2,76.53,87,74,4.43,broken clouds
240,Toplet,RO,44.7972,22.3944,64.83,48,90,5.5,overcast clouds
241,Qaqortoq,GL,60.7167,-46.0333,30.7,41,23,5.75,few clouds
242,Sioux Lookout,CA,50.1001,-91.917,61.18,100,90,2.3,overcast clouds
243,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,80,100,8.19,overcast clouds
244,Vilyuysk,RU,63.7553,121.6247,29.98,56,15,5.57,few clouds
245,Acapulco,MX,16.8634,-99.8901,76.82,85,43,4.74,scattered clouds
246,Turochak,RU,52.2576,87.1224,37.49,99,100,3.98,light rain
247,Bagotville,AU,-28.9833,153.4167,57.22,87,100,6.49,overcast clouds
248,Ilula,TZ,-7.6766,36.0366,81.19,31,51,10.18,broken clouds
249,Faanui,PF,-16.4833,-151.75,78.62,70,9,18.72,clear sky
250,College,US,64.8569,-147.8028,34.2,81,75,6.91,broken clouds
251,Khuzhir,RU,53.1939,107.3397,40.12,71,61,10.2,broken clouds
252,Lompoc,US,34.6391,-120.4579,67.57,61,1,3.44,clear sky
253,Zhigansk,RU,66.7697,123.3711,32.74,60,30,10.27,scattered clouds
254,Guarapuava,BR,-25.3953,-51.4581,64.38,90,99,1.14,heavy intensity rain
255,Sydney,AU,-33.8679,151.2073,60.06,83,0,12.66,clear sky
256,Tottori,JP,35.5,134.2333,73.47,68,20,13.8,few clouds
257,Turukhansk,RU,65.8167,87.9833,35.37,86,100,3.85,overcast clouds
258,Kavaratti,IN,10.5669,72.642,81.75,79,87,14.05,overcast clouds
259,Bubaque,GW,11.2833,-15.8333,81.77,79,92,10.76,moderate rain
260,Minab,IR,27.1467,57.0801,96.3,40,26,9.51,scattered clouds
261,Lethem,GY,3.3803,-59.7968,81.79,67,88,12.08,overcast clouds
